--- Cluster Profiles (k=3) ---
 Cluster                        0   	1       2
 feat_pct_bronze            	34.01   44.88    9.33
 feat_pct_gold               	5.13   12.69   38.81
 feat_pct_FPL_100_150       	53.69   20.91   58.03
 feat_pct_FPL_400_plus       	4.01   13.05    3.08
 avg_premium_before_APTC   	675.49  756.10  678.14
 feat_subsidy_coverage_ratio 	0.88	0.79    0.91
 feat_net_attrition          	3.06	9.51    5.84
 feat_market_newness        	15.11   15.80   15.42
 feat_passive_renewal       	56.75   36.98   46.01
 feat_pct_age_55_over       	25.95   31.32   23.19
 feat_pct_black              	4.44	0.45    2.16
 feat_pct_hispanic           	2.17	1.93   14.62
 feat_pct_asian              	1.18	1.18    1.50
 feat_pct_aian               	0.86	1.35    0.14
 Access_Disruption_Risk_Index   56.07   51.73   54.66
 Count                     	979.00  906.00  271.00
 % of Data                  	45.41   42.02   12.57

 --- B. Weighted Cluster Profiles (Enrollee/Impact View) ---
 (Weighted by: total_enrollees_master)
 Cluster                               0       	1       2
 feat_pct_bronze                    36.65   	43.11   20.69
 feat_pct_gold                       4.75   	11.25   21.76
 feat_pct_FPL_100_150          	    53.54   	25.18   64.70
 feat_pct_FPL_400_plus               4.89   	13.37   2.74
 avg_premium_before_APTC           608.69  	662.75  596.63
 feat_subsidy_coverage_ratio         0.86    	0.74    0.91
 feat_net_attrition                  2.82    	8.75    3.76
 feat_market_newness                15.90   	18.53   16.65
 feat_passive_renewal               52.75   	39.41   39.46
 feat_pct_age_55_over               23.04   	29.50   20.43
 feat_pct_black                      5.64    	1.95    4.91
 feat_pct_hispanic                   5.51    	4.55   	19.06
 feat_pct_asian                      2.59    	4.25    3.45
 feat_pct_aian                       0.43    	0.46    0.09
 Access_Disruption_Risk_Index       57.13   	53.35   57.51
 Count_Counties                    979.00  	906.00  271.00
 Total_Enrollees               7810531.00  2518209.00  6800150.00
 % of Enrollees                     45.60   	14.70   39.70
